,project,global_tags,operators,XP,cell_lines,coating,thawing,cell_number,seeding,culture,fixation,mesurement,plate_ref,comments,staining,measurement
49,ASD,[],,,,,,,,,,,,,,
50,ASD,[],,,,,,,,,,,,,,
51,ASD,[],,,,,,,,,,,,,,
52,ASD,[],,,,,,,,,,,,,,
53,ASD,[],,,,,,,,,,,,,,
54,ASD,[],,,,,,,,,,,,,,
55,ASD,[],,,,,,,,,,,,,,
56,ASD,[],,,,,,,,,,,,,,
57,ASD,[],,,,,,,,,,,,,,
58,ASD,[],,,,,,,,,,,,,,
59,ASD,[],,,,,,,,,,,,,,
60,ASD,[],,,,,,,,,,,,,,
61,ASD,[],,,,,,,,,,,,,,
62,ASD,[],,,,,,,,,,,,,,
63,ASD,[],,,,,,,,,,,,,,
64,ASD,[],,,,,,,,,,,,,,
65,ASD,[],,,,,,,,,,,,,,
66,ASD,[],,,,,,,,,,,,,,
67,ASD,[],,,,,,,,,,,,,,
68,ASD,[],,,,,,,,,,,,,,
69,ASD,[],{'XP': 'amand'},,,,,,,,,,,,,ASD-20X-060520-pl6-DiffD6-HUCD-TUJ1
70,ASD,[],,,,,,,,,,,,,,
71,ASD,[],,,,,,,,,,,,,,
72,ASD,[],,,,,,,,,,,,,,
73,ASD,[],{'XP': 'amand'},,,,,,,,,,,,,ASD-20X-091020-Exp2-D6-HUCD-Edu-SOX2-AT
74,ASD,[],{'XP': 'amand'},,,,,,,,,,,,,ASD-20X-091020-Exp2-D9-HUCD-Edu-SOX2-AT
75,ASD,[],,,,,,,,,,,,,,
76,ASD,[],,,,,,,,,,,,,,
77,ASD,[],,,,,,,,,,,,,,
78,ASD,[],{'XP': 'amand'},,,,,,,,,,,,,ASD-20X-250620-pl5-D6-Edu-SOX2-HUCD-AT
79,ASD,[],,,,,,,,,,,,,,
80,ASD,[],,,,,,,,,,,,,,
81,ASD,[],,,,,,,,,,,,,,
82,ASD,[],,,,,,,,,,,,,,
83,ASD,[],{'XP': 'amand'},,,,,,,,,,,,,ASD-20X-D4Diff-HUCD-TUJ1--Ki67-SOX2-AT
84,ASD,[],,,,,,,,,,,,,,
85,ASD,[],,,,,,,,,,,,,,
86,ASD,[],,,,,,,,,,,,,,
87,ASD,[],,,,,,,,,,,,,,
88,ASD,[],,,,,,,,,,,,,,
89,ASD,[],,,,,,,,,,,,,,
90,ASD,[],,,,,,,,,,,,,,
91,ASD,[],,,,,,,,,,,,,,
92,ASD,[],,,,,,,,,,,,,,
93,ASD,[],,,,,,,,,,,,,,
94,ASD,[],,,,,,,,,,,,,,
95,ASD,[],,,,,,,,,,,,,,
96,ASD,[],,,,,,,,,,,,,,
97,ASD,[],,,,,,,,,,,,,,
98,ASD,[],,,,,,,,,,,,,,
99,ASD,[],,,,,,,,,,,,,,
100,ASD,[],,,,,,,,,,,,,,
101,ASD,[],,,,,,,,,,,,,,
102,ASD,[],,,,,,,,,,,,,,
103,ASD,[],,,,,,,,,,,,,,
104,ASD,[],,,,,,,,,,,,,,
105,ASD,[],,,,,,,,,,,,,,
106,ASD,[],,,,,,,,,,,,,,
107,ASD,[],,,,,,,,,,,,,,
108,ASD,[],,,,,,,,,,,,,,
109,ASD,[],,,,,,,,,,,,,,
110,ASD,[],,,,,,,,,,,,,,
111,ASD,[],,,,,,,,,,,,,,
112,ASD,[],,,,,,,,,,,,,,
113,ASD,[],,,,,,,,,,,,,,
114,ASD,[],,,,,,,,,,,,,,
115,ASD,[],,,,,,,,,,,,,,
116,ASD,[],,,,,,,,,,,,,,
117,ASD,[],,,,,,,,,,,,,,
118,ASD,[],,,,,,,,,,,,,,
119,ASD,[],,,,,,,,,,,,,,
120,ASD,[],{'XP': 'amand'},,,,,,,,,,,,,ASD-Exp1-D6-pl4-WT-HT-HUCD-Edu-TUJ1-AT
121,ASD,[],,,,,,,,,,,,,,
122,ASD,[],,,,,,,,,,,,,,
123,ASD,[],,,,,,,,,,,,,,
124,ASD,[],,,,,,,,,,,,,,
125,ASD,[],,,,,,,,,,,,,,
126,SCZD,[],,,,,,,,,,,,,,
127,SCZD,[],,,,,,,,,,,,,,
128,SCZD,[],,,,,,,,,,,,,,
129,SCZD,[],,,,,,,,,,,,,,
130,SCZD,[],,,,,,,,,,,,,,
131,SCZD,[],,,,,,,,,,,,,,
132,SCZD,[],,,,,,,,,,,,,,
133,SCZD,[],,,,,,,,,,,,,,
134,SCZD,[],,,,,,,,,,,,,,
135,SCZD,[],,,,,,,,,,,,,,
136,SCZD,[],,,,,,,,,,,,,,
137,SCZD,[],,,,,,,,,,,,,,
138,SCZD,[],,,,,,,,,,,,,,
