Symbol
RPS11
RPS17
RPL4
EIF3D
RPL27
RPL10A
RPS13
U2AF1
POLR2D
RPS15A
PSMD1
KPNB1
RPL32
EIF5B
RPL11
SNRNP200
ARCN1
EIF3B
PRPF19
RPSA
TUBA1B
RPL7
PSMB2
RPS26
RPL36
RPS14
SNRPD2
RPS18
SF3B5
PSMA1
RPL12
EFTUD2
RPL6
EEF2
RPL5
RPL18
SHFM1
COPB1
EIF3A
RPL37A
RPS9
PSMA3
RPS27A
RPS8
RAN
RPS7
RPL37
EIF4A3
RUVBL2
USP39
RPL14
HNRNPC
CDC5L
NHP2L1
CCT7
RPLP0
PRPF31
RPL34
PSMB3
RPS3
SNRPD1
KARS
RRM1
RPL7A
CCT3
SFPQ
NUP93
EIF3G
CCT8
SF3A1
RPL19
EIF3I
AQR
EIF2S2
U2AF2
PHB
POLR2I
CLTC
LSM6
PSMD7
LSM4
VCP
RPL31
EIF3C
PSMD11
RPL3
RPL23A
PSMA6
SUPT5H
FTSJ3
NACA
RPA2
RILPL2
RPLP2
RPS3A
TIMM10
RPL24
COPZ1
PHF5A
CCT4
PABPN1
HAUS7
PSMA2
NXF1
RPL18A
HSPA9
RPL13
DYNC1H1
SF3B2
RPS6
COPS2
SNRNP27
EIF3F
TUBGCP2
RPL10
SF3B3
SRSF1
RBM17
ALYREF
RPS24
RPA1
NUP133
COPA
SF3B1
RPS19
PAPOLA
SMC3
PRPF3
CDC40
HNRNPU
NAPA
CHD4
SDAD1
RPS15
UBA1
DDX18
RPL35A
CSE1L
XPO1
SRCAP
HSPE1
NUP205
PRKAB2
EIF1AX
RPL35
WDR12
ZNF207
ETF1
INTS9
PRPF38A
PHB2
CHMP2A
PRPF8
DNM2
PSMC2
YY1
RPL13A
GNL3
DDB1
WDR60
PSMC4
EIF2B4
RPS20
PRPF18
XAB2
COPS4
HNRNPK
COPS6
WDR61
LIAS
MRPS31
PRUNE
PSMC1
GAR1
PPP2R1A
NEDD8
SRSF3
RPS5
TSTA3
DYNC1I2
SF3B4
RUVBL1
POLR2F
DDX46
ZC3H13
BRIX1
RPN2
RPL38
THOP1
GTF3C4
TFIP11
SF3A2
NUP98
QARS
RPL30
RPL26
SRFBP1
PFDN2
HNRNPM
SUPT6H
DDX49
CCT6A
NAPG
EXOSC10
NUDT21
RPS4X
C12orf66
ZBTB48
CDK17
ERH
HEATR1
COPS8
DDX51
MSANTD3
CTDNEP1
SUPV3L1
NUP54
