sim,metabatchid
-0.10377636985458784,BRD-A00827783-001-24-6
0.03044726581166248,BRD-A01078468-001-14-8
-0.37698124923973014,BRD-A07207424-001-15-9
-0.18240917236260204,BRD-A08187463-001-12-9
-0.3060792839004877,BRD-A09722536-002-18-0
0.027470290309477764,BRD-A10188456-001-04-9
0.06911009648132614,BRD-A10739734-003-09-8
0.12149530630614014,BRD-A15397381-001-02-5
0.5152753742604749,BRD-A18763547-300-05-5
0.31022583191091374,BRD-A18992208-003-02-7
0.7802524563968286,BRD-A20697603-001-07-2
0.3307077252266833,BRD-A22032524-074-09-9
0.7168187944988137,BRD-A22713669-001-03-5
0.10630792130605453,BRD-A23124853-001-01-4
-0.03212194938472328,BRD-A24122750-001-03-7
0.3657391120905314,BRD-A25569250-001-03-3
0.14864728278370104,BRD-A30815329-001-10-5
-0.08119792385158696,BRD-A31564021-001-01-8
0.09879148468718352,BRD-A36217750-001-16-3
0.32399292100725036,BRD-A37704979-001-12-3
0.5236681161164795,BRD-A43005764-003-02-9
-0.07507285091774389,BRD-A48180038-003-24-3
-0.19540895639632244,BRD-A51831848-001-02-9
0.2650449102108266,BRD-A54139254-001-10-9
-0.07743232712512174,BRD-A58048407-001-20-4
0.06204263931441444,BRD-A63310107-001-04-8
-0.15914826962623485,BRD-A63444178-001-01-5
-0.302441785462861,BRD-A64173453-015-03-1
-0.09693077016446563,BRD-A65597028-003-09-9
0.14175764916292752,BRD-A69636825-003-04-7
0.6165763679461427,BRD-A69651145-003-11-4
0.22054895993888574,BRD-A72351335-001-04-5
-0.037067055389916406,BRD-A72483914-001-03-7
0.15494058707718628,BRD-A72767275-003-01-6
-0.05758875823757389,BRD-A74391928-051-04-9
0.20696296411647583,BRD-A82396632-008-28-2
0.13725496836643084,BRD-A83029242-001-08-7
-0.018258750491510677,BRD-A84687895-001-03-2
0.196588790213944,BRD-A85242401-001-12-3
-0.3366862805736439,BRD-A86665761-001-01-1
-0.21489026004845602,BRD-A89164055-001-04-9
0.2526693793197579,BRD-A91008255-003-24-8
-0.06499235231942646,BRD-A91822151-001-05-0
-0.10247967461555901,BRD-A93477898-001-04-2
-0.4546050661794412,BRD-A99888680-001-05-3
0.6171565412151061,BRD-K00259736-001-16-4
-0.10191150263170336,BRD-K01666412-001-02-0
0.21663748124022136,BRD-K01824976-300-02-9
0.058549638061388506,BRD-K01825589-310-02-9
0.35181971708286874,BRD-K01825660-322-01-9
-0.07327695830785419,BRD-K01825690-065-01-9
-0.12442466886501594,BRD-K01826724-003-07-9
-0.08256668468093895,BRD-K02490038-236-03-8
0.4086401810012651,BRD-K02554563-001-01-6
0.2207991033543665,BRD-K03109492-001-08-9
-0.35795403777645596,BRD-K03155172-001-02-2
0.3332683402401325,BRD-K03406345-001-18-7
0.6358555239389703,BRD-K03601870-001-02-9
-0.03270567112943766,BRD-K04210847-001-21-9
0.5454322926401476,BRD-K05531427-001-01-7
0.20456761266059478,BRD-K05878375-236-05-7
0.19289740557817844,BRD-K06426971-001-04-9
0.5091254144467068,BRD-K06674495-334-04-0
0.007412641281347998,BRD-K06890060-001-10-9
-0.11094462511273812,BRD-K07442505-001-05-9
0.6112951043359182,BRD-K07762753-001-04-4
0.33847006823384496,BRD-K07881437-001-03-8
0.2888587266809961,BRD-K08893438-001-04-9
0.27763160182887203,BRD-K08953028-001-09-6
0.5637407013911913,BRD-K09143580-001-02-9
0.09530076462411338,BRD-K09295674-001-09-8
0.4936975414779044,BRD-K09338665-001-07-1
0.17965028620045545,BRD-K09787262-001-03-9
-0.4492172720356854,BRD-K10670311-001-15-5
-0.16473859239873695,BRD-K10843433-001-23-5
0.15344935539558485,BRD-K11558771-001-16-9
-0.09282354206999252,BRD-K11796549-001-06-9
0.11966371164281783,BRD-K12102668-001-25-5
0.632157237025805,BRD-K12502280-001-16-9
-0.023503632912849515,BRD-K13094524-001-06-7
0.5461106132377855,BRD-K13533483-001-16-2
0.5338602269517105,BRD-K14560436-001-02-9
0.07342552616227511,BRD-K14681867-001-01-6
0.1869327325061558,BRD-K15179513-001-04-2
0.1503393180538601,BRD-K15502390-001-19-1
0.5730680280080667,BRD-K15819326-001-02-9
0.2437856614733653,BRD-K16444452-001-12-9
0.5136205738995473,BRD-K16472653-001-03-9
-0.06379258973067717,BRD-K16542329-001-13-5
0.5275021008920521,BRD-K16730910-001-12-9
-0.0582192326538346,BRD-K16761703-001-03-8
-0.030198375853538854,BRD-K16803204-001-02-9
-0.0686504119286805,BRD-K16810791-001-01-0
0.43059442085092486,BRD-K17849083-001-32-9
0.10673037919349464,BRD-K18131774-001-18-4
0.3498692158052307,BRD-K18289362-001-03-9
-0.10869857225590508,BRD-K18895904-001-16-1
0.06434651531668294,BRD-K19227686-001-18-6
0.549100285895646,BRD-K19333160-001-01-3
0.033012026742732174,BRD-K19477839-001-10-9
0.4046008767777466,BRD-K19975102-001-02-0
0.033121951608543004,BRD-K20093108-001-02-3
0.16471778045520108,BRD-K20897876-001-10-0
0.7121143203976044,BRD-K20986415-001-02-6
0.005639105936525434,BRD-K21528677-001-04-4
0.3210259600140006,BRD-K21728777-001-02-3
0.49435571927863636,BRD-K22134346-001-21-5
0.23824991740273632,BRD-K22149900-001-05-4
