symbol
AMDHD2
AMFR
AMHR2
AMPD1
AMPD2
AMPD3
AMT
AMY2A
AMY2B
AMZ1
AMZ2
ANAPC11
ANAPC2
FEM1A
ANAPC4
ANAPC5
ANGPT1
ANGPT2
FEM1B
ANGPTL1
ANGPTL2
ANGPTL3
ANGPTL7
ANG
ANK2
ANK3
FEN1
ANKEF1
ANKH
FOSL1
FOSL2
FOS
FOXA1
FOXA2
FOXA3
FOXB1
FZD4
FZD5
ANKIB1
ANKK1
ANKRA2
ANKRD10
FZD6
FZD7
FZD8
ANKRD1
ANKRD22
ANKRD2
ANKRD30A
FZD9
G2E3
ANKRD33
G3BP1
G3BP2
ANKRD42
G6PC2
G6PC3
G6PC1
G6PD
GAA
GAB2
GATB
GATM
GBA2
GBA3
GBA1
GBE1
GBGT1
GBP1
ANKRD45
ANKRD49
ANKRD53
ANKRD54
GBP2
ANKRD55
GBX1
ANKRD6
ANKRD7
ANKS3
GBX2
ANKZF1
ANO10
ANO1
ANO2
ANO3
ANO4
ANO5
ANO6
ANO7
ANO8
ANO9
ANOS1
ANPEP
ANXA3
ANXA6
ANXA9
AOAH
AOC2
AOC3
AOX1
AP3B1
APBA3
APC2
APC
APEH
APEX1
APEX2
APLNR
APLP2
APOA1
APOA2
APOA4
APOBEC1
APOBEC2
GCAT
GCFC2
APOBEC3A
APOBEC3B
APOBEC3C
GCGR
GCH1
GCKR
GCK
APOBEC3D
GCLC
APOBEC3G
APOB
APOC2
APOC3
APOC4
APOC1
APOD
APOE
APOM
APOF
APOH
APOL1
APOL3
APRT
APTX
AQP10
AQP11
GCLM
AQP12A
GCM1
GCN1
GCM2
AQP12B
AQP1
AQP2
AQP3
AQP5
AQP4
AQP6
AQP7
AQP9
AQP8
ARAF
ARF1
AREG
ARF3
ARF4
ARF6
AREL1
ARFGAP1
ARF5
ARFGAP3
ARG2
ARFRP1
ARG1
GCNT1
ARHGAP5
ARHGAP35
ARHGDIA
ARHGAP8
ARHGDIB
GCNT3
GCNT2
