Gene,Gene name,Cell line,TPM,pTPM,nTPM
ENSG00000106089,STX1A,U2OS,10.2,12.8,9.8
ENSG00000106100,NOD1,U2OS,7.6,9.5,7.2
ENSG00000106113,CRHR2,U2OS,0.1,0.2,0.1
ENSG00000106144,CASP2,U2OS,17.8,22.2,17.0
ENSG00000106245,BUD31,U2OS,137.2,170.9,131.9
ENSG00000106261,ZKSCAN1,U2OS,24.6,30.8,23.6
ENSG00000106263,EIF3B,U2OS,267.5,332.7,256.9
ENSG00000106278,PTPRZ1,U2OS,0.0,0.0,0.0
ENSG00000106290,TAF6,U2OS,133.7,166.8,127.8
ENSG00000106302,HYAL4,U2OS,0.3,0.3,0.3
ENSG00000106304,SPAM1,U2OS,0.0,0.0,0.0
ENSG00000106331,PAX4,U2OS,0.0,0.0,0.0
ENSG00000106336,FBXO24,U2OS,3.8,4.8,3.6
ENSG00000106346,USP42,U2OS,17.5,21.8,16.8
ENSG00000106348,IMPDH1,U2OS,35.9,44.8,34.4
ENSG00000106384,MOGAT3,U2OS,0.2,0.3,0.2
ENSG00000106397,PLOD3,U2OS,88.0,109.6,84.7
ENSG00000106443,PHF14,U2OS,25.7,32.0,24.6
ENSG00000106459,NRF1,U2OS,12.7,15.8,12.1
ENSG00000106477,CEP41,U2OS,7.0,8.8,6.7
ENSG00000106483,SFRP4,U2OS,1.1,1.4,1.0
ENSG00000106484,MEST,U2OS,0.9,1.2,0.9
ENSG00000106511,MEOX2,U2OS,0.0,0.0,0.0
ENSG00000106536,POU6F2,U2OS,0.3,0.3,0.2
ENSG00000106538,RARRES2,U2OS,3.2,4.0,3.0
ENSG00000106546,AHR,U2OS,0.1,0.1,0.1
ENSG00000106554,CHCHD3,U2OS,40.2,50.1,38.7
ENSG00000106571,GLI3,U2OS,21.9,27.3,20.8
ENSG00000106591,MRPL32,U2OS,99.2,123.4,95.8
ENSG00000106605,BLVRA,U2OS,57.4,71.6,54.8
ENSG00000106615,RHEB,U2OS,52.3,65.0,50.5
ENSG00000106617,PRKAG2,U2OS,3.6,4.5,3.5
ENSG00000106624,AEBP1,U2OS,71.2,88.5,68.2
ENSG00000106628,POLD2,U2OS,206.8,257.6,198.4
ENSG00000106631,MYL7,U2OS,0.5,0.7,0.5
ENSG00000106682,EIF4H,U2OS,278.3,346.7,267.1
ENSG00000106683,LIMK1,U2OS,35.1,43.8,33.6
ENSG00000106688,SLC1A1,U2OS,0.3,0.4,0.3
ENSG00000106701,FSD1L,U2OS,3.5,4.4,3.3
ENSG00000106733,NMRK1,U2OS,2.5,3.2,2.4
ENSG00000106785,TRIM14,U2OS,7.7,9.6,7.4
ENSG00000106804,C5,U2OS,0.2,0.3,0.2
ENSG00000106829,TLE4,U2OS,0.2,0.3,0.2
ENSG00000106853,PTGR1,U2OS,34.5,43.0,32.9
ENSG00000106927,AMBP,U2OS,0.5,0.6,0.5
ENSG00000106948,AKNA,U2OS,4.7,5.9,4.5
ENSG00000106976,DNM1,U2OS,37.7,47.0,35.9
ENSG00000106992,AK1,U2OS,26.6,33.3,25.4
ENSG00000107130,NCS1,U2OS,71.1,88.6,68.3
ENSG00000107140,TESK1,U2OS,15.4,19.2,14.8
ENSG00000107147,KCNT1,U2OS,0.1,0.2,0.1
ENSG00000107159,CA9,U2OS,1.3,1.6,1.2
ENSG00000107164,FUBP3,U2OS,40.6,50.5,39.0
ENSG00000107165,TYRP1,U2OS,0.5,0.7,0.5
ENSG00000107175,CREB3,U2OS,25.2,31.4,24.1
ENSG00000107187,LHX3,U2OS,0.0,0.0,0.0
ENSG00000107201,DDX58,U2OS,0.9,1.1,0.9
ENSG00000107249,GLIS3,U2OS,0.6,0.8,0.6
ENSG00000107262,BAG1,U2OS,34.6,43.1,33.2
ENSG00000107295,SH3GL2,U2OS,2.0,2.5,1.9
ENSG00000107331,ABCA2,U2OS,6.1,7.7,5.8
ENSG00000107338,SHB,U2OS,11.1,13.9,10.7
ENSG00000107341,UBE2R2,U2OS,31.5,39.2,30.2
ENSG00000107362,ABHD17B,U2OS,12.1,15.1,11.6
ENSG00000107372,ZFAND5,U2OS,56.2,69.9,54.3
ENSG00000107438,PDLIM1,U2OS,22.6,28.2,21.5
ENSG00000107447,DNTT,U2OS,0.2,0.3,0.2
ENSG00000107537,PHYH,U2OS,10.8,13.5,10.3
ENSG00000107581,EIF3A,U2OS,122.1,152.2,117.3
ENSG00000107593,PKD2L1,U2OS,0.0,0.0,0.0
ENSG00000107611,CUBN,U2OS,0.3,0.3,0.2
ENSG00000107614,TRDMT1,U2OS,5.1,6.3,4.8
ENSG00000107625,DDX50,U2OS,36.3,45.3,34.9
ENSG00000107643,MAPK8,U2OS,29.6,36.8,28.5
ENSG00000107669,ATE1,U2OS,5.6,7.0,5.4
ENSG00000107731,UNC5B,U2OS,6.7,8.3,6.3
ENSG00000107736,CDH23,U2OS,1.4,1.8,1.3
ENSG00000107758,PPP3CB,U2OS,30.5,38.0,29.4
ENSG00000107779,BMPR1A,U2OS,8.2,10.2,7.8
ENSG00000107789,MINPP1,U2OS,18.1,22.6,17.4
ENSG00000107798,LIPA,U2OS,13.8,17.2,13.2
ENSG00000107807,TLX1,U2OS,1.6,2.0,1.5
ENSG00000107829,FBXW4,U2OS,2.4,3.0,2.3
ENSG00000107854,TNKS2,U2OS,14.6,18.2,14.0
ENSG00000107859,PITX3,U2OS,0.1,0.1,0.1
ENSG00000107872,FBXL15,U2OS,8.2,10.2,7.8
ENSG00000107902,LHPP,U2OS,15.9,19.9,15.1
ENSG00000107954,NEURL1,U2OS,1.3,1.6,1.2
ENSG00000107959,PITRM1,U2OS,15.1,18.8,14.4
ENSG00000108010,GLRX3,U2OS,75.2,93.5,72.7
ENSG00000108018,SORCS1,U2OS,0.4,0.6,0.4
ENSG00000108039,XPNPEP1,U2OS,31.8,39.6,30.5
ENSG00000108064,TFAM,U2OS,93.7,116.6,90.2
ENSG00000108094,CUL2,U2OS,29.9,37.1,28.7
ENSG00000108106,UBE2S,U2OS,413.6,515.1,399.1
ENSG00000108175,ZMIZ1,U2OS,23.3,29.1,22.3
ENSG00000108179,PPIF,U2OS,89.8,111.8,86.7
ENSG00000108242,CYP2C18,U2OS,0.1,0.2,0.1
ENSG00000108306,FBXL20,U2OS,6.7,8.4,6.4
ENSG00000108312,UBTF,U2OS,144.3,180.0,138.1
ENSG00000108342,CSF3,U2OS,0.0,0.0,0.0
ENSG00000108370,RGS9,U2OS,1.0,1.3,0.9
ENSG00000108381,ASPA,U2OS,0.5,0.7,0.5
ENSG00000108384,RAD51C,U2OS,85.7,106.7,82.8
ENSG00000108405,P2RX1,U2OS,0.0,0.0,0.0
ENSG00000108406,DHX40,U2OS,52.7,65.6,50.4
ENSG00000108423,TUBD1,U2OS,17.1,21.3,16.4
ENSG00000108424,KPNB1,U2OS,226.0,281.5,216.9
ENSG00000108433,GOSR2,U2OS,39.7,49.6,38.2
ENSG00000108443,RPS6KB1,U2OS,42.3,52.8,40.6
ENSG00000108469,RECQL5,U2OS,25.0,31.2,23.9
ENSG00000108474,PIGL,U2OS,5.9,7.4,5.7
ENSG00000108479,GALK1,U2OS,25.0,31.2,24.0
ENSG00000108510,MED13,U2OS,40.2,50.2,38.6
ENSG00000108515,ENO3,U2OS,24.3,30.3,23.3
ENSG00000108523,RNF167,U2OS,48.2,60.1,46.3
ENSG00000108528,SLC25A11,U2OS,26.4,32.9,25.4
ENSG00000108551,RASD1,U2OS,0.5,0.7,0.5
ENSG00000108556,CHRNE,U2OS,0.0,0.0,0.0
ENSG00000108557,RAI1,U2OS,18.2,22.7,17.4
ENSG00000108578,BLMH,U2OS,64.6,80.5,62.0
ENSG00000108582,CPD,U2OS,20.2,25.2,19.3
ENSG00000108587,GOSR1,U2OS,26.8,33.4,25.8
ENSG00000108591,DRG2,U2OS,18.1,22.6,17.4
ENSG00000108592,FTSJ3,U2OS,67.4,84.0,64.8
ENSG00000108599,AKAP10,U2OS,13.3,16.5,12.7
ENSG00000108602,ALDH3A1,U2OS,1.0,1.3,1.0
ENSG00000108604,SMARCD2,U2OS,53.8,67.0,51.4
ENSG00000108654,DDX5,U2OS,107.2,133.3,103.7
ENSG00000108679,LGALS3BP,U2OS,169.5,211.2,161.3
ENSG00000108684,ASIC2,U2OS,0.1,0.1,0.1
ENSG00000108688,CCL7,U2OS,0.0,0.0,0.0
ENSG00000108733,PEX12,U2OS,3.1,3.9,3.0
ENSG00000108771,DHX58,U2OS,0.1,0.1,0.1
ENSG00000108773,KAT2A,U2OS,15.7,19.6,15.2
ENSG00000108774,RAB5C,U2OS,151.6,188.9,145.7
ENSG00000108784,NAGLU,U2OS,9.9,12.4,9.4
ENSG00000108786,HSD17B1,U2OS,6.2,7.7,5.9
ENSG00000108788,MLX,U2OS,29.5,36.7,28.4
ENSG00000108797,CNTNAP1,U2OS,10.7,13.3,10.1
ENSG00000108799,EZH1,U2OS,5.8,7.3,5.6
ENSG00000108813,DLX4,U2OS,0.7,0.8,0.6
ENSG00000108828,VAT1,U2OS,98.8,123.2,94.1
ENSG00000108830,RND2,U2OS,0.4,0.5,0.4
ENSG00000108839,ALOX12,U2OS,2.7,3.4,2.6
ENSG00000108840,HDAC5,U2OS,17.8,22.1,16.9
ENSG00000108846,ABCC3,U2OS,5.4,6.8,5.2
ENSG00000108852,MPP2,U2OS,14.8,18.5,14.1
ENSG00000108854,SMURF2,U2OS,38.2,47.5,36.7
ENSG00000108878,CACNG1,U2OS,0.0,0.0,0.0
ENSG00000108883,EFTUD2,U2OS,81.4,101.3,78.2
ENSG00000108924,HLF,U2OS,0.1,0.2,0.1
ENSG00000108947,EFNB3,U2OS,13.5,16.8,12.8
ENSG00000108953,YWHAE,U2OS,270.1,336.5,259.2
ENSG00000108984,MAP2K6,U2OS,3.4,4.3,3.2
ENSG00000109046,WSB1,U2OS,23.3,29.2,22.3
ENSG00000109061,MYH1,U2OS,0.3,0.4,0.3
ENSG00000109063,MYH3,U2OS,1.2,1.6,1.2
ENSG00000109101,FOXN1,U2OS,0.0,0.0,0.0
ENSG00000109107,ALDOC,U2OS,5.9,7.3,5.6
ENSG00000109111,SUPT6H,U2OS,50.6,63.1,48.5
ENSG00000109132,PHOX2B,U2OS,0.0,0.0,0.0
ENSG00000109158,GABRA4,U2OS,0.0,0.0,0.0
ENSG00000109163,GNRHR,U2OS,0.0,0.0,0.0
ENSG00000109184,DCUN1D4,U2OS,16.2,20.1,15.6
ENSG00000109189,USP46,U2OS,17.7,22.1,17.0
ENSG00000109193,SULT1E1,U2OS,0.1,0.1,0.1
ENSG00000109270,LAMTOR3,U2OS,14.3,17.8,13.8
ENSG00000109320,NFKB1,U2OS,13.8,17.2,13.3
ENSG00000109321,AREG,U2OS,9.0,11.2,9.0
ENSG00000109323,MANBA,U2OS,1.2,1.5,1.1
ENSG00000109332,UBE2D3,U2OS,200.7,249.8,193.1
ENSG00000109381,ELF2,U2OS,16.1,20.1,15.4
ENSG00000109424,UCP1,U2OS,0.0,0.0,0.0
ENSG00000109445,ZNF330,U2OS,29.2,36.5,28.2
ENSG00000109501,WFS1,U2OS,24.0,30.0,22.9
ENSG00000109576,AADAT,U2OS,14.3,17.8,13.7
ENSG00000109606,DHX15,U2OS,80.3,100.1,77.2
ENSG00000109625,CPZ,U2OS,3.5,4.4,3.4
ENSG00000109654,TRIM2,U2OS,2.7,3.4,2.6
ENSG00000109667,SLC2A9,U2OS,0.0,0.0,0.0
ENSG00000109670,FBXW7,U2OS,12.6,15.8,12.1
ENSG00000109689,STIM2,U2OS,11.9,14.8,11.4
ENSG00000109738,GLRB,U2OS,13.8,17.2,13.1
ENSG00000109743,BST1,U2OS,1.1,1.3,1.0
ENSG00000109787,KLF3,U2OS,13.8,17.2,13.2
ENSG00000109814,UGDH,U2OS,44.7,55.7,42.8
ENSG00000109819,PPARGC1A,U2OS,1.8,2.3,1.7
ENSG00000109832,DDX25,U2OS,0.1,0.1,0.1
ENSG00000109851,DBX1,U2OS,0.0,0.0,0.0
ENSG00000109854,HTATIP2,U2OS,49.4,61.6,47.4
ENSG00000109861,CTSC,U2OS,154.7,192.4,149.3
ENSG00000109927,TECTA,U2OS,0.2,0.3,0.2
ENSG00000109929,SC5D,U2OS,30.1,37.5,28.8
ENSG00000109956,B3GAT1,U2OS,2.8,3.6,2.7
ENSG00000109971,HSPA8,U2OS,1079.9,1344.3,1036.5
ENSG00000109991,P2RX3,U2OS,0.0,0.0,0.0
ENSG00000110031,LPXN,U2OS,5.8,7.2,5.8
ENSG00000110042,DTX4,U2OS,4.5,5.7,4.3
ENSG00000110048,OSBP,U2OS,21.7,27.0,20.8
ENSG00000110060,PUS3,U2OS,8.1,10.1,7.8
ENSG00000110063,DCPS,U2OS,7.6,9.4,7.2
ENSG00000110066,KMT5B,U2OS,36.2,45.1,34.7
ENSG00000110080,ST3GAL4,U2OS,15.1,18.9,14.5
ENSG00000110090,CPT1A,U2OS,0.8,1.0,0.7
ENSG00000110092,CCND1,U2OS,95.1,118.4,91.4
ENSG00000110107,PRPF19,U2OS,143.2,178.4,137.6
ENSG00000110108,TMEM109,U2OS,63.6,79.2,61.0
ENSG00000110148,CCKBR,U2OS,0.7,0.9,0.7
ENSG00000110171,TRIM3,U2OS,10.2,12.7,9.7
ENSG00000110195,FOLR1,U2OS,13.6,17.0,12.9
ENSG00000110218,PANX1,U2OS,23.6,29.4,22.7
ENSG00000110237,ARHGEF17,U2OS,28.5,35.6,27.3
ENSG00000110244,APOA4,U2OS,0.0,0.0,0.0
ENSG00000110245,APOC3,U2OS,0.0,0.0,0.0
ENSG00000110315,RNF141,U2OS,19.8,24.7,19.0
ENSG00000110321,EIF4G2,U2OS,501.5,624.2,482.9
ENSG00000110324,IL10RA,U2OS,0.0,0.0,0.0
ENSG00000110328,GALNT18,U2OS,6.4,8.0,6.2
ENSG00000110330,BIRC2,U2OS,28.2,35.1,27.4
ENSG00000110344,UBE4A,U2OS,17.7,22.1,16.9
ENSG00000110367,DDX6,U2OS,34.3,42.8,32.8
ENSG00000110395,CBL,U2OS,11.4,14.2,10.9
ENSG00000110422,HIPK3,U2OS,17.5,21.9,16.8
ENSG00000110429,FBXO3,U2OS,21.8,27.1,20.9
ENSG00000110435,PDHX,U2OS,30.1,37.4,29.0
ENSG00000110436,SLC1A2,U2OS,0.1,0.1,0.1
ENSG00000110446,SLC15A3,U2OS,1.5,1.8,1.4
ENSG00000110448,CD5,U2OS,0.0,0.1,0.0
ENSG00000110492,MDK,U2OS,752.0,939.8,718.5
ENSG00000110514,MADD,U2OS,15.9,19.8,15.2
ENSG00000110536,PTPMT1,U2OS,22.2,27.7,21.4
ENSG00000110693,SOX6,U2OS,3.9,4.9,3.7
ENSG00000110697,PITPNM1,U2OS,18.8,23.5,18.0
ENSG00000110711,AIP,U2OS,80.5,100.4,77.1
ENSG00000110713,NUP98,U2OS,47.1,58.7,45.1
ENSG00000110717,NDUFS8,U2OS,137.3,171.1,131.6
ENSG00000110719,TCIRG1,U2OS,27.1,33.8,25.9
ENSG00000110721,CHKA,U2OS,15.0,18.7,14.4
ENSG00000110768,GTF2H1,U2OS,10.1,12.6,9.7
ENSG00000110777,POU2AF1,U2OS,2.7,3.3,2.6
ENSG00000110786,PTPN5,U2OS,0.2,0.2,0.2
ENSG00000110799,VWF,U2OS,0.3,0.4,0.3
ENSG00000110811,P3H3,U2OS,14.3,17.8,13.6
ENSG00000110851,PRDM4,U2OS,13.1,16.4,12.6
ENSG00000110871,COQ5,U2OS,35.9,44.8,34.4
ENSG00000110887,DAO,U2OS,0.0,0.0,0.0
ENSG00000110911,SLC11A2,U2OS,15.4,19.2,14.7
ENSG00000110925,CSRNP2,U2OS,12.7,15.9,12.2
ENSG00000110931,CAMKK2,U2OS,12.7,15.9,12.1
ENSG00000110958,PTGES3,U2OS,290.2,361.1,278.8
ENSG00000111012,CYP27B1,U2OS,1.4,1.7,1.3
ENSG00000111058,ACSS3,U2OS,2.8,3.5,2.7
ENSG00000111087,GLI1,U2OS,9.6,12.0,9.1
ENSG00000111110,PPM1H,U2OS,1.6,2.0,1.5
ENSG00000111142,METAP2,U2OS,97.1,121.1,93.5
ENSG00000111144,LTA4H,U2OS,45.0,56.0,43.0
ENSG00000111181,SLC6A12,U2OS,0.8,1.0,0.7
ENSG00000111199,TRPV4,U2OS,3.7,4.7,3.5
ENSG00000111218,PRMT8,U2OS,0.0,0.0,0.0
ENSG00000111229,ARPC3,U2OS,167.6,208.6,161.8
ENSG00000111237,VPS29,U2OS,45.8,57.0,44.1
ENSG00000111241,FGF6,U2OS,0.0,0.0,0.0
ENSG00000111254,AKAP3,U2OS,0.2,0.3,0.2
ENSG00000111269,CREBL2,U2OS,14.2,17.7,13.6
ENSG00000111271,ACAD10,U2OS,5.9,7.4,5.6
ENSG00000111275,ALDH2,U2OS,15.7,19.5,15.0
ENSG00000111291,GPRC5D,U2OS,4.6,5.8,4.5
ENSG00000111319,SCNN1A,U2OS,2.0,2.6,1.9
ENSG00000111321,LTBR,U2OS,33.8,42.0,32.4
ENSG00000111335,OAS2,U2OS,0.1,0.2,0.1
ENSG00000111348,ARHGDIB,U2OS,7.4,9.2,7.3
ENSG00000111358,GTF2H3,U2OS,19.0,23.7,18.3
ENSG00000111361,EIF2B1,U2OS,45.0,56.1,43.3
ENSG00000111364,DDX55,U2OS,21.4,26.6,20.6
ENSG00000111371,SLC38A1,U2OS,16.0,20.0,15.4
ENSG00000111424,VDR,U2OS,6.0,7.5,5.8
ENSG00000111445,RFC5,U2OS,42.8,53.4,41.1
ENSG00000111450,STX2,U2OS,19.2,23.9,18.5
ENSG00000111452,ADGRD1,U2OS,7.3,9.1,7.0
ENSG00000111530,CAND1,U2OS,27.0,33.7,25.9
ENSG00000111537,IFNG,U2OS,0.0,0.0,0.0
ENSG00000111540,RAB5B,U2OS,34.7,43.2,33.1
ENSG00000111596,CNOT2,U2OS,29.9,37.2,28.6
ENSG00000111640,GAPDH,U2OS,6412.9,7997.8,6135.0
ENSG00000111641,NOP2,U2OS,59.2,73.7,56.9
ENSG00000111642,CHD4,U2OS,230.5,287.6,220.2
ENSG00000111653,ING4,U2OS,17.3,21.6,16.6
ENSG00000111665,CDCA3,U2OS,73.9,92.1,70.6
ENSG00000111666,CHPT1,U2OS,15.2,18.9,14.6
ENSG00000111667,USP5,U2OS,110.5,137.8,105.5
ENSG00000111669,TPI1,U2OS,1034.6,1290.8,990.3
ENSG00000111671,SPSB2,U2OS,15.7,19.5,14.9
ENSG00000111674,ENO2,U2OS,79.0,98.6,75.5
ENSG00000111676,ATN1,U2OS,103.3,128.8,98.7
ENSG00000111679,PTPN6,U2OS,0.2,0.2,0.2
ENSG00000111701,APOBEC1,U2OS,0.0,0.0,0.0
ENSG00000111704,NANOG,U2OS,0.0,0.0,0.0
ENSG00000111713,GYS2,U2OS,0.0,0.0,0.0
ENSG00000111716,LDHB,U2OS,979.3,1219.8,939.7
ENSG00000111726,CMAS,U2OS,36.9,46.0,35.5
ENSG00000111727,HCFC2,U2OS,1.3,1.7,1.3
ENSG00000111728,ST8SIA1,U2OS,1.1,1.4,1.0
ENSG00000111732,AICDA,U2OS,0.3,0.4,0.3
ENSG00000111737,RAB35,U2OS,41.3,51.4,39.8
ENSG00000111775,COX6A1,U2OS,453.3,565.1,435.0
ENSG00000111846,GCNT2,U2OS,0.4,0.5,0.4
ENSG00000111875,ASF1A,U2OS,13.8,17.2,13.3
ENSG00000111880,RNGTT,U2OS,10.2,12.7,9.7
ENSG00000111885,MAN1A1,U2OS,13.9,17.3,13.2
ENSG00000111886,GABRR2,U2OS,0.2,0.2,0.2
ENSG00000111962,UST,U2OS,1.1,1.4,1.1
ENSG00000112029,FBXO5,U2OS,49.7,61.9,48.0
ENSG00000112031,MTRF1L,U2OS,15.7,19.5,15.0
ENSG00000112033,PPARD,U2OS,17.2,21.5,16.6
ENSG00000112038,OPRM1,U2OS,0.2,0.2,0.2
ENSG00000112041,TULP1,U2OS,0.1,0.1,0.1
ENSG00000112062,MAPK14,U2OS,28.1,35.0,26.9
ENSG00000112077,RHAG,U2OS,0.0,0.0,0.0
ENSG00000112079,STK38,U2OS,30.8,38.4,29.5
ENSG00000112096,SOD2,U2OS,66.5,83.0,63.8
ENSG00000112110,MRPL18,U2OS,95.6,119.0,92.2
ENSG00000112118,MCM3,U2OS,179.6,224.1,171.7
ENSG00000112130,RNF8,U2OS,10.6,13.2,10.2
ENSG00000112146,FBXO9,U2OS,54.2,67.5,52.1
ENSG00000112159,MDN1,U2OS,4.0,5.0,3.8
ENSG00000112164,GLP1R,U2OS,0.0,0.0,0.0
ENSG00000112175,BMP5,U2OS,21.0,26.1,20.0
ENSG00000112182,BACH2,U2OS,1.8,2.3,1.7
ENSG00000112208,BAG2,U2OS,13.0,16.1,12.5
ENSG00000112218,GPR63,U2OS,2.0,2.5,1.9
ENSG00000112234,FBXL4,U2OS,3.7,4.6,3.5
ENSG00000112237,CCNC,U2OS,43.7,54.4,42.1
ENSG00000112242,E2F3,U2OS,17.3,21.6,16.6
ENSG00000112245,PTP4A1,U2OS,96.6,120.1,93.5
ENSG00000112246,SIM1,U2OS,0.0,0.0,0.0
ENSG00000112249,ASCC3,U2OS,15.7,19.5,15.1
ENSG00000112282,MED23,U2OS,13.2,16.4,12.6
ENSG00000112293,GPLD1,U2OS,0.9,1.1,0.8
ENSG00000112294,ALDH5A1,U2OS,6.3,7.8,6.0
ENSG00000112299,VNN1,U2OS,0.1,0.1,0.1
ENSG00000112303,VNN2,U2OS,0.0,0.0,0.0
ENSG00000112304,ACOT13,U2OS,4.0,5.0,3.8
ENSG00000112309,B3GAT2,U2OS,0.2,0.3,0.2
ENSG00000112319,EYA4,U2OS,0.0,0.0,0.0
ENSG00000112333,NR2E1,U2OS,0.0,0.0,0.0
ENSG00000112339,HBS1L,U2OS,76.3,95.0,73.2
ENSG00000112343,TRIM38,U2OS,3.3,4.2,3.2
ENSG00000112357,PEX7,U2OS,2.5,3.2,2.4
ENSG00000112394,SLC16A10,U2OS,2.6,3.3,2.5
ENSG00000112425,EPM2A,U2OS,1.2,1.5,1.1
ENSG00000112499,SLC22A2,U2OS,0.0,0.0,0.0
ENSG00000112511,PHF1,U2OS,1.1,1.4,1.0
ENSG00000112541,PDE10A,U2OS,7.1,8.8,6.7
ENSG00000112561,TFEB,U2OS,4.1,5.1,3.9
ENSG00000112576,CCND3,U2OS,41.1,51.1,39.6
ENSG00000112592,TBP,U2OS,19.5,24.3,18.8
ENSG00000112599,GUCA1B,U2OS,1.8,2.3,1.8
ENSG00000112619,PRPH2,U2OS,0.0,0.0,0.0
ENSG00000112640,PPP2R5D,U2OS,52.4,65.4,49.9
ENSG00000112655,PTK7,U2OS,50.9,63.4,48.6
ENSG00000112658,SRF,U2OS,24.4,30.3,23.5
ENSG00000112659,CUL9,U2OS,9.4,11.8,9.0
ENSG00000112667,DNPH1,U2OS,42.2,52.6,40.6
ENSG00000112695,COX7A2,U2OS,203.4,253.2,196.6
ENSG00000112701,SENP6,U2OS,30.0,37.3,28.7
ENSG00000112715,VEGFA,U2OS,26.7,33.2,25.7
ENSG00000112739,PRPF4B,U2OS,6.9,8.7,6.7
ENSG00000112742,TTK,U2OS,25.2,31.4,24.2
ENSG00000112759,SLC29A1,U2OS,75.3,93.8,72.1
ENSG00000112769,LAMA4,U2OS,8.3,10.4,7.9
ENSG00000112796,ENPP5,U2OS,1.4,1.7,1.3
ENSG00000112812,PRSS16,U2OS,0.9,1.1,0.8
ENSG00000112818,MEP1A,U2OS,0.0,0.0,0.0
ENSG00000112837,TBX18,U2OS,5.5,6.9,5.2
ENSG00000112855,HARS2,U2OS,20.2,25.2,19.4
ENSG00000112893,MAN2A1,U2OS,16.6,20.7,15.9
ENSG00000112964,GHR,U2OS,1.7,2.2,1.7
ENSG00000112972,HMGCS1,U2OS,66.0,82.1,63.9
ENSG00000112981,NME5,U2OS,0.0,0.0,0.0
ENSG00000112983,BRD8,U2OS,38.6,48.2,36.9
ENSG00000112992,NNT,U2OS,30.1,37.6,28.7
ENSG00000112996,MRPS30,U2OS,33.8,42.0,32.6
ENSG00000113013,HSPA9,U2OS,109.6,136.4,105.2
ENSG00000113073,SLC4A9,U2OS,0.1,0.1,0.0
ENSG00000113083,LOX,U2OS,18.8,23.4,17.9
ENSG00000113088,GZMK,U2OS,0.0,0.0,0.0
ENSG00000113161,HMGCR,U2OS,29.1,36.3,27.7
ENSG00000113231,PDE8B,U2OS,0.4,0.5,0.4
ENSG00000113262,GRM6,U2OS,0.0,0.0,0.0
ENSG00000113263,ITK,U2OS,0.0,0.0,0.0
ENSG00000113273,ARSB,U2OS,9.4,11.7,9.0
ENSG00000113302,IL12B,U2OS,0.1,0.1,0.1
ENSG00000113318,MSH3,U2OS,8.5,10.6,8.1
ENSG00000113356,POLR3G,U2OS,16.8,21.0,16.4
ENSG00000113360,DROSHA,U2OS,48.5,60.4,46.4
ENSG00000113387,SUB1,U2OS,299.4,372.6,288.9
ENSG00000113389,NPR3,U2OS,0.5,0.6,0.4
ENSG00000113396,SLC27A6,U2OS,1.3,1.7,1.3
ENSG00000113430,IRX4,U2OS,4.0,5.0,3.8
ENSG00000113441,LNPEP,U2OS,8.3,10.3,7.9
ENSG00000113448,PDE4D,U2OS,0.2,0.3,0.2
ENSG00000113456,RAD1,U2OS,13.0,16.2,12.5
ENSG00000113492,AGXT2,U2OS,0.0,0.0,0.0
ENSG00000113494,PRLR,U2OS,1.7,2.2,1.6
ENSG00000113504,SLC12A7,U2OS,9.5,11.9,9.0
ENSG00000113522,RAD50,U2OS,4.7,5.9,4.6
ENSG00000113525,IL5,U2OS,0.0,0.0,0.0
ENSG00000113532,ST8SIA4,U2OS,0.2,0.2,0.2
ENSG00000113552,GNPDA1,U2OS,30.2,37.6,28.9
ENSG00000113575,PPP2CA,U2OS,56.4,70.2,54.2
ENSG00000113578,FGF1,U2OS,20.9,26.0,20.6
ENSG00000113580,NR3C1,U2OS,16.5,20.5,15.8
ENSG00000113593,PPWD1,U2OS,26.4,32.9,25.4
ENSG00000113594,LIFR,U2OS,13.8,17.2,13.2
ENSG00000113595,TRIM23,U2OS,11.1,13.8,10.6
ENSG00000113615,SEC24A,U2OS,7.0,8.7,6.7
ENSG00000113649,TCERG1,U2OS,38.8,48.4,37.3
ENSG00000113657,DPYSL3,U2OS,47.8,59.7,45.7
ENSG00000113712,CSNK1A1,U2OS,80.8,100.7,77.5
ENSG00000113721,PDGFRB,U2OS,17.9,22.3,17.0
ENSG00000113722,CDX1,U2OS,0.0,0.0,0.0
ENSG00000113732,ATP6V0E1,U2OS,102.2,127.0,99.3
ENSG00000113734,BNIP1,U2OS,18.7,23.3,18.0
ENSG00000113749,HRH2,U2OS,0.1,0.1,0.1
ENSG00000113790,EHHADH,U2OS,3.2,4.0,3.0
ENSG00000113810,SMC4,U2OS,92.9,115.6,89.0
ENSG00000113889,KNG1,U2OS,0.0,0.0,0.0
ENSG00000113916,BCL6,U2OS,6.2,7.7,5.9
ENSG00000113924,HGD,U2OS,0.4,0.5,0.4
ENSG00000113946,CLDN16,U2OS,1.1,1.4,1.2
ENSG00000114013,CD86,U2OS,0.0,0.0,0.0
ENSG00000114021,NIT2,U2OS,2.6,3.3,2.5
ENSG00000114026,OGG1,U2OS,28.7,35.9,27.5
ENSG00000114030,KPNA1,U2OS,36.6,45.7,35.2
ENSG00000114054,PCCB,U2OS,26.2,32.7,25.1
ENSG00000114062,UBE3A,U2OS,66.1,82.2,63.8
ENSG00000114115,RBP1,U2OS,181.6,227.1,173.2
ENSG00000114120,SLC25A36,U2OS,15.4,19.2,14.7
ENSG00000114126,TFDP2,U2OS,20.9,26.1,20.1
