Gene,Gene name,Cell line,TPM,pTPM,nTPM
ENSG00000057608,GDI2,U2OS,206.9,257.5,198.6
ENSG00000057657,PRDM1,U2OS,1.7,2.1,1.6
ENSG00000057663,ATG5,U2OS,3.2,4.0,3.1
ENSG00000058056,USP13,U2OS,25.8,32.2,24.7
ENSG00000058063,ATP11B,U2OS,34.5,43.0,33.0
ENSG00000058091,CDK14,U2OS,51.5,64.3,49.4
ENSG00000058272,PPP1R12A,U2OS,26.3,32.8,25.3
ENSG00000058404,CAMK2B,U2OS,0.6,0.7,0.6
ENSG00000058600,POLR3E,U2OS,14.3,17.8,13.6
ENSG00000058668,ATP2B4,U2OS,12.5,15.7,11.9
ENSG00000058729,RIOK2,U2OS,21.4,26.6,20.7
ENSG00000059377,TBXAS1,U2OS,0.2,0.3,0.2
ENSG00000059691,GATB,U2OS,11.1,13.8,10.6
ENSG00000059728,MXD1,U2OS,1.0,1.3,1.0
ENSG00000059804,SLC2A3,U2OS,17.4,21.8,16.6
ENSG00000060069,CTDP1,U2OS,18.8,23.4,18.0
ENSG00000060138,YBX3,U2OS,208.6,259.0,201.1
ENSG00000060237,WNK1,U2OS,75.5,94.2,72.2
ENSG00000060491,OGFR,U2OS,57.3,71.5,55.0
ENSG00000060558,GNA15,U2OS,0.1,0.1,0.1
ENSG00000060566,CREB3L3,U2OS,0.0,0.0,0.0
ENSG00000060656,PTPRU,U2OS,9.3,11.6,8.9
ENSG00000060971,ACAA1,U2OS,23.4,29.2,22.4
ENSG00000060982,BCAT1,U2OS,60.2,75.0,57.7
ENSG00000061273,HDAC7,U2OS,57.5,71.6,55.1
ENSG00000061337,LZTS1,U2OS,4.0,5.0,3.9
ENSG00000061455,PRDM6,U2OS,0.0,0.0,0.0
ENSG00000062096,ARSF,U2OS,0.0,0.0,0.0
ENSG00000062194,GPBP1,U2OS,44.5,55.4,42.7
ENSG00000062282,DGAT2,U2OS,6.0,7.5,5.8
ENSG00000062485,CS,U2OS,151.7,188.9,145.3
ENSG00000062822,POLD1,U2OS,72.7,90.7,69.7
ENSG00000063046,EIF4B,U2OS,287.1,358.1,274.1
ENSG00000063127,SLC6A16,U2OS,15.1,18.9,14.3
ENSG00000063176,SPHK2,U2OS,9.3,11.6,8.8
ENSG00000063180,CA11,U2OS,24.5,30.6,23.2
ENSG00000063241,ISOC2,U2OS,51.8,64.5,49.5
ENSG00000063515,GSC2,U2OS,0.1,0.2,0.1
ENSG00000063761,ADCK1,U2OS,3.4,4.2,3.2
ENSG00000063854,HAGH,U2OS,23.2,28.9,22.2
ENSG00000063978,RNF4,U2OS,32.4,40.5,31.1
ENSG00000064012,CASP8,U2OS,15.9,19.9,15.3
ENSG00000064195,DLX3,U2OS,0.2,0.2,0.2
ENSG00000064218,DMRT3,U2OS,0.4,0.5,0.4
ENSG00000064225,ST3GAL6,U2OS,2.2,2.7,2.1
ENSG00000064313,TAF2,U2OS,36.6,45.6,35.2
ENSG00000064393,HIPK2,U2OS,11.2,14.0,10.8
ENSG00000064490,RFXANK,U2OS,29.9,37.3,28.7
ENSG00000064547,LPAR2,U2OS,6.6,8.3,6.4
ENSG00000064601,CTSA,U2OS,86.5,107.9,82.7
ENSG00000064651,SLC12A2,U2OS,12.5,15.6,12.0
ENSG00000064655,EYA2,U2OS,4.7,5.9,4.6
ENSG00000064687,ABCA7,U2OS,2.1,2.6,2.0
ENSG00000064703,DDX20,U2OS,6.7,8.4,6.4
ENSG00000064835,POU1F1,U2OS,0.0,0.0,0.0
ENSG00000064886,CHI3L2,U2OS,1.3,1.6,1.3
ENSG00000064933,PMS1,U2OS,15.1,18.8,14.5
ENSG00000064961,HMG20B,U2OS,76.4,95.4,73.0
ENSG00000064995,TAF11,U2OS,39.4,49.0,37.9
ENSG00000065029,ZNF76,U2OS,11.3,14.2,10.8
ENSG00000065057,NTHL1,U2OS,21.2,26.4,20.3
ENSG00000065135,GNAI3,U2OS,35.1,43.7,33.8
ENSG00000065243,PKN2,U2OS,27.2,33.9,26.1
ENSG00000065325,GLP2R,U2OS,6.7,8.3,6.3
ENSG00000065357,DGKA,U2OS,7.6,9.5,7.3
ENSG00000065361,ERBB3,U2OS,3.8,4.8,3.7
ENSG00000065457,ADAT1,U2OS,15.4,19.2,14.7
ENSG00000065485,PDIA5,U2OS,19.1,23.8,18.3
ENSG00000065518,NDUFB4,U2OS,243.1,303.0,233.8
ENSG00000065526,SPEN,U2OS,15.2,18.9,14.6
ENSG00000065534,MYLK,U2OS,14.1,17.6,13.4
ENSG00000065613,SLK,U2OS,14.3,17.8,13.7
ENSG00000065615,CYB5R4,U2OS,8.7,10.9,8.3
ENSG00000065621,GSTO2,U2OS,6.0,7.5,5.7
ENSG00000065675,PRKCQ,U2OS,5.1,6.3,4.9
ENSG00000065717,TLE2,U2OS,16.9,21.1,16.1
ENSG00000065802,ASB1,U2OS,18.4,22.9,17.7
ENSG00000065833,ME1,U2OS,11.3,14.1,10.8
ENSG00000065911,MTHFD2,U2OS,246.9,306.5,239.0
ENSG00000065970,FOXJ2,U2OS,24.2,30.2,23.2
ENSG00000065989,PDE4A,U2OS,10.8,13.5,10.3
ENSG00000066027,PPP2R5A,U2OS,12.3,15.3,11.9
ENSG00000066056,TIE1,U2OS,0.3,0.4,0.3
ENSG00000066117,SMARCD1,U2OS,58.0,72.3,55.4
ENSG00000066135,KDM4A,U2OS,35.3,44.1,33.8
ENSG00000066136,NFYC,U2OS,77.2,96.2,73.9
ENSG00000066336,SPI1,U2OS,0.2,0.3,0.2
ENSG00000066382,MPPED2,U2OS,1.2,1.5,1.2
ENSG00000066583,ISOC1,U2OS,25.0,31.1,24.0
ENSG00000066735,KIF26A,U2OS,4.2,5.2,4.0
ENSG00000066827,ZFAT,U2OS,2.7,3.3,2.5
ENSG00000066926,FECH,U2OS,3.0,3.7,2.8
ENSG00000066933,MYO9A,U2OS,8.4,10.5,8.0
ENSG00000067048,DDX3Y,U2OS,0.2,0.3,0.2
ENSG00000067057,PFKP,U2OS,58.3,72.5,55.8
ENSG00000067064,IDI1,U2OS,11.8,14.6,11.3
ENSG00000067082,KLF6,U2OS,15.7,19.6,15.0
ENSG00000067113,PLPP1,U2OS,8.0,9.9,7.6
ENSG00000067177,PHKA1,U2OS,5.4,6.7,5.1
ENSG00000067182,TNFRSF1A,U2OS,68.2,84.9,65.3
ENSG00000067191,CACNB1,U2OS,8.5,10.6,8.1
ENSG00000067225,PKM,U2OS,1559.4,1942.5,1494.4
ENSG00000067248,DHX29,U2OS,17.8,22.1,17.0
ENSG00000067369,TP53BP1,U2OS,22.3,27.8,21.3
ENSG00000067560,RHOA,U2OS,445.6,555.0,428.0
ENSG00000067596,DHX8,U2OS,28.2,35.2,27.0
ENSG00000067606,PRKCZ,U2OS,14.5,18.1,13.8
ENSG00000067646,ZFY,U2OS,0.0,0.0,0.0
ENSG00000067715,SYT1,U2OS,0.6,0.8,0.6
ENSG00000067829,IDH3G,U2OS,39.1,48.8,37.5
ENSG00000067842,ATP2B3,U2OS,0.8,1.0,0.8
ENSG00000067900,ROCK1,U2OS,7.7,9.6,7.4
ENSG00000067992,PDK3,U2OS,4.0,5.0,3.8
ENSG00000068001,HYAL2,U2OS,61.2,76.4,58.6
ENSG00000068024,HDAC4,U2OS,0.4,0.5,0.4
ENSG00000068078,FGFR3,U2OS,1.9,2.4,1.8
ENSG00000068120,COASY,U2OS,56.9,70.9,54.5
ENSG00000068305,MEF2A,U2OS,19.0,23.7,18.4
ENSG00000068323,TFE3,U2OS,44.4,55.3,42.7
ENSG00000068366,ACSL4,U2OS,15.9,19.7,15.3
ENSG00000068438,FTSJ1,U2OS,50.9,63.3,48.8
ENSG00000068650,ATP11A,U2OS,25.1,31.3,24.0
ENSG00000068654,POLR1A,U2OS,20.5,25.6,19.7
ENSG00000068745,IP6K2,U2OS,76.1,95.1,72.7
ENSG00000068796,KIF2A,U2OS,45.0,56.1,43.2
ENSG00000068903,SIRT2,U2OS,5.2,6.5,4.9
ENSG00000068971,PPP2R5B,U2OS,7.3,9.1,7.0
ENSG00000068976,PYGM,U2OS,0.6,0.8,0.6
ENSG00000069011,PITX1,U2OS,11.7,14.6,11.2
ENSG00000069020,MAST4,U2OS,3.3,4.1,3.2
ENSG00000069206,ADAM7,U2OS,0.0,0.0,0.0
ENSG00000069345,DNAJA2,U2OS,14.6,18.2,14.0
ENSG00000069399,BCL3,U2OS,10.8,13.5,10.3
ENSG00000069493,CLEC2D,U2OS,1.7,2.1,1.6
ENSG00000069535,MAOB,U2OS,3.9,4.9,3.7
ENSG00000069667,RORA,U2OS,4.5,5.6,4.3
ENSG00000069696,DRD4,U2OS,0.1,0.2,0.1
ENSG00000069764,PLA2G10,U2OS,0.0,0.0,0.0
